	urlDrugName	rating	effectiveness	sideEffects	condition	benefitsReview	sideEffectsReview	commentsReview
1366	biaxin	9	Considerably Effective	Mild Side Effects	sinus infection	The antibiotic may have destroyed bacteria causing my sinus infection.  But it may also have been caused by a virus, so its hard to say.	Some back pain, some nauseau.	Took the antibiotics for 14 days. Sinus infection was gone after the 6th day.
3724	lamictal	9	Highly Effective	Mild Side Effects	bipolar disorder	"Lamictal stabilized my serious mood swings. One minute I was clawing up the walls in pure mania, the next curled up in a fetal position on my bed contemplating suicdie. I am no longer at the whim of my moods and neither are those around me. I'm lucky that I started pharmaceuticals almost immediately after I was diagnosed a bipolar. Lamictal gives me amazing clarity to go about my day, honestly assess myself and form real relationships. Lamitcal lifted a fog, I guess you could call it. Now that I'm medicated I realize how cloudy my thought processes used to be. It's a wonderful feeling.

Interestingly, I hardly dreamt before beginning Lamictal. I would dream (I mean dream in the sense of being able to imagine pictures and scenes while asleep, not REM) maybe once every two months. Now I dream every night. I found that the closer I take it to bedtime the more frequent and more intense my dreams."	"Drowsiness, a bit of mental numbness. If you take too much, you will feel sedated. Since you have to be able to clearly and honestly assess your emotions and thoughts, determining how much medication you need is tough. I found that 400mg works perfectly for me, but that's a high dose. Less than that and I can feel the medicine wearing off prematurely (I like it to last 24hrs, from sleep to sleep). More than that and I feel numb. Some might call it drowsiness, but it's more a sluggishness of the mind for me.

Before I began treating my bipolar disorder, I used to write a fair amount of fiction. It sort of flowed from me. I definitely had the artist's temperament. After Lamictal, though, that inherent creativity fizzled out. It doesn't come spilling out of me while I'm deep into a manic euphoria. I have to work at art now. It's something that requires discipline. If you are in a field which requires creativity, expect to see a change in your output."	Severe mood swings between hypomania and depression with suicide ideation before Lamictal. Began with 10mg and tritrated up to 400mg over a few months. Played around with the dosage to finally arrive at 400mg. Experimented with taking it at different times in the evening. Found that most comfortable time is before sleep.
3824	depakene	4	Moderately Effective	Severe Side Effects	bipolar disorder	Initial benefits were comparable to the brand name version of this drug, Depakote.  I had been taking Depakote for several months and experienced great results.  When I went to my psychiatrist for an evaluation and re-fill, he accidently prescribed the generic version, Depakene.  When I discovered the error, I was told by this doctor that I would experience the same results as Depakote.  The positive side effects of the Depakene: balanced mood, improved concentration, improved logical cognition, mental clarity, lessened anxiety and irritability, improved sleep, increase in pleasure about activities	Depakene has a very thin coating, which caused severe heart burn and stomach upset.  The discomfort was so unpleasant that it made me not want to take my meds, so I was not taking them consistently as prescribed.  This caused my mood to fluctuate again.  Even after I switched to the Depakote, my stomach was still uncomfortable for several weeks afterwards.  My appetite decreased and food was very unappetizing.  Certain foods that I normally enjoy, such as chicken or fish, made me feel extremely queasy when I ate them.  I did not like the physical side effect of the drug, and decided to quit my psychiatric drugs altogether - because I was no longer stable anymore!	"Depakote was prescribed to me by a Kaiser psychiatrist in Pleasant Hill, CA in 2006.  The medication was given to help treat the diagnosis of Bipolar Disorder, Type II.  My disease was misdiagnosed for several years as depression, since I was never seen by a professional during hypomanic episodes, and when I did see a professional, I did not think that my manic symptoms were signs of a serious psychiatric problem.  Anti-depressant drugs were prescribed: Prozac in 2001, which had minimal effect and I stopped taking them a few months later. Wellbutrin was prescribed again for ""chronic depression"" in the spring of 2006, but this medication slowly spun me into an intense manic period.  After the manic episode, I fell very hard into a severe, suicidal depressive state.  I was voluntarily admitted to a psychiatric ward in June 2006 to keep me safe and to properly diagnose my condition.  The symptoms I was experiencing before being prescribed the Depakote/Depakene: rapidly cycling mood swings between intense activation and irritablity/excitement and crashing lows and depression, suicidal thoughts, poor logic and decision making, racing thoughts, anxiety, poor concentration, and poor sleep."
969	sarafem	10	Highly Effective	No Side Effects	bi-polar / anxiety	It controlls my mood swings. It helps me think before i act or speak. It controlls amxiety. IT FREED ME TO LIVE MY LIFE HAPPILY!!! I cared about my life more. Everything had more meaning to me. I lived a very dull life before taking prozac.	I didnt really notice any side effects.	This drug may not be for everyone but its wonderful for me! It makes me a totally different person, a better person.
696	accutane	10	Highly Effective	Mild Side Effects	nodular acne	Within one week of treatment superficial acne lesions were visibly reduced.  Sebum production which had been excessive before beginning was significantly reduced (after course of treatment level increased to a more normal level).  After one month of treatment no new acne lesions occured.  By the end of treatment no new acne developed, and old lesions had healed.	"Side effects included moderate to severe dry skin.  This condition was rectified by the topical application of ""Aquafore"" moisturizer."	Drug was taken in gelatin tablet at 0.5 mg per day.  Drug treatment was carried out with bi-monthly visits to physician.  After 25 weeks ended treatment successfully finished treatment.  No recurrence of acne.
1380	biaxin	2	Marginally Effective	No Side Effects	sinus infection	By the end of the 10-day treatment I felt better, but still had major congestion, green/yellow mucus and was coughing up mucus.  The symptoms were milder than before I started the treatment but definitely not gone.	I felt no significant side effects - perhaps some slight drowsiness.	Basically the treatment did not seem to work.  My presumption is that symptoms should have completely cleared up by the end of the 10-day treatment, but they were still significantly present.
45	carbamazepine	8	Considerably Effective	Moderate Side Effects	seizure	reduction in seizures reduction in seizures reduction in seizures didn't have lots of seizures how many times can I say the same thing I'm sorry but there's not a whole lot to say here I keep repeating the same stuff over and over again to get to fifty words.	tired/sleepy very tired sleep and tired very tired sometimes and other times less tired i'm sorry not more to say other than 50 words so blah blah see above see above see above see above see above	took it for seizure took pills drank with water drank water and took pills took pills drank water drank water took pills took pills drank water drank water took pills toook pills drank water drank water toook pills took pills drank water drank water took pills.
1939	ultram-er	10	Highly Effective	Mild Side Effects	cervical disk degeneration and lower back pain	Ive been taking Tramadol for 2 weeks now. Ive been taking vicodin and percocuet for 7 months due to Cervial disk degeneration and lower back pain. I have to admit I loved taking Vicodin and percocuet. The problem is that they would knock me out. Tramadol has been awesome. It takes 90% of the pain away and I feel like I actually have energy again. From reading previous comments it sounds like I take a lower dose. Im really happy about that cause if I get use to it then I can up my dose and not feel worried about it.	I have had no side effects so far. I hope it stays that way.	Treating for neck, shoulder, arms, lower back, hip, thigh and knee pain.
2576	klonopin	10	Highly Effective	No Side Effects	panic disorder	"I immediately stopped having panic attacks.  It really was miraculous, as they were becoming more and more frequent and severe.  On the combination of klonopin and prozac, I have not experienced a panic attack in 10 years. I simply feel ""normal"", and am able to go through my days without any feelings of extreme nausea or dizziness, which is how my panic attacks manifested themselves.  No longer did I have to leave work early, avoid restaurants and supermarkets, or worry about getting suddenly ""sick"", for no reason."	I experienced no side effects.  I was not tired nor did I feel medicated.	I started both klonopin and prozac together.  At first, I took klonopin 4 times a day.  Then gradually I was able to cut back to twice a day, first thing in the morning and again at dinnertime.  I did this very gradually, cutting out first the noontime dosage, and then the bedtime one.  I have never had talk-therapy at all.  I continue to take klonopin, or the generic clonazapam to this day with no adverse reactions at all.
1093	effexor	1	Marginally Effective	Extremely Severe Side Effects	depression	the presumed benefits were to help with a severe depression. in the beginning there was some benefit, ie less suicidal, apathetic, morbid, depressed. but the effects were short lived and dose had to be continually increased. the biggest benefit was probably placebo - feeling like i was getting help, hopeful and trusting in the treatment and doctors.	here we go.the initial effect would be dry mouth and sleepiness, not being able to think straight or function really but once the dose would be acclimatised it would be okay. but it also cased both hypo and hypersomnia. shakiness at times. large cognitive deficits in reading and comprehension (eyes would literally\ physically play tricks not seeing words or substituting others, blind spots)and a general confusion not knowing what i was doing where i was going.nightmares, nightsweats	family doctor initially prescribed wellbutin but a psychologist at the hospital suggested effexor. the dose would be increased as i would adjust and experience setbacks. the gabapentin was added when i had sleep troubles and to augment. many things were also added and subtracted to no avail. a psychiatrist felt the dose could be increased to 375 mg. so it was but i was not under any supervised care other than my family physician. all the above side effects caused me to be sent from specialist to specialist who all had tentative diagnoses ranging from borderline personality, narcolepsy (the modifinil), sleep apnea and restless leg, and finally bi polar. finally a different psychiatrist said it was the drugs!
1962	lyrica	3	Moderately Effective	Moderate Side Effects	fibromyalgia	some pain relief recieved minimized pain when touched	signigicant swelling of hands and feet so significant and uncomfortable that I had to discontinue the medication regimine	I started on 50mg twice aday with out any pain relief.  The dosage was increased to 100mg twice a day with some pain relief but the side effects began
142	valtrex	9	Highly Effective	Mild Side Effects	cold sores	Significantly diminished the symptoms and size of the cold sore.  Often, it would halt the development and the redness and swelling would disappear after a day or two, without the sore blistering/weeping/scabbing.  For my body, Valtrex has proven to be far more effective than either Famvir, or Zoviraz.   It is surprising how many people either do not treat cold sores, or are not aware of any new treatments after Zovirax.	Slight dizziness and tiredness, very minor.	2x 1000mg tablets every 12 hours for 1 day.
1269	provigil	6	Moderately Effective	No Side Effects	chronic fatigue	Treatment benefits were noticeable but not substantial. I did not respond to 100mg a day as I or the doctor had hoped. But it did allow me to stay focused throughout the day with out drowsiness or fatigue, so I give it a positive review. Treatment effectiveness varies among individuals	nervousness, insomnia (if taken late in the day)	"Took 100mg each day in the morning, sometimes if drowsy another 100mg mid-day 
for cronic fatigue."
3499	maxalt	10	Highly Effective	Mild Side Effects	migraine	"Very quick migraine relief with no nausea or drowsiness. Other medications (such as Imitrex and Relpax) had little to no effect, or took a minimum of 1 to 2 hours for relief to begin. 

I really like the dissolving tablet, as I can take it anytime without having to find a water fountain or other beverage. Relief is very quick, generally within 20 to 30 minutes."	"Very mild ""buzz."""	This is the first migraine medicine I've found to provide quick relief without unacceptable side effects of previous medications (nausea, severe drowsiness).
