drug_name,avg_rating,review_count
tekturna-hct,1.0,1
ceclor,1.0,2
compazine,1.0,2
accolate,1.0,1
penlac,1.0,2
sustiva,1.0,1
bactrim-ds,1.0,1
capoten,1.0,1
vistaril,1.0,1
lodine,1.0,1
combipatch,1.0,1
aralen,1.0,1
enablex,1.0,1
diltiazem,1.0,1
tylenol-with-codeine,1.0,1
tequin,1.0,1
metoclopramide,1.0,1
mevacor,1.5,2
omnicef,1.9090909090909092,11
kenalog,2.0,1
prochlorperazine,2.0,1
furosemide-injection,2.0,1
boniva,2.0,2
adcirca,2.0,1
tegretol,2.3333333333333335,3
aricept,2.8333333333333335,6
glyquin-xm,3.0,1
mirena,3.0,1
vioxx,3.0,1
caduet,3.0,1
locoid-lipocream,3.0,1
climara-pro,3.0,1
halcion,3.0,1
femara,3.0,1
pilocarpine,3.0,1
levetiracetam,3.0,1
clindamycin,3.125,8
flagyl,3.5,10
risperdal,3.6666666666666665,6
dilaudid,3.6666666666666665,3
cleocin,3.6666666666666665,3
levaquin,3.75,12
macrobid,3.909090909090909,11
reglan,4.0,4
triazolam,4.0,1
atarax,4.0,3
fosinopril,4.0,1
desonide,4.0,1
toradol,4.0,3
avelox,4.125,8
fosamax,4.222222222222222,18
soma,4.25,4
clomid,4.25,4
ditropan,4.333333333333333,3
arava,4.5,2
lopressor,4.5,2
protopic,4.571428571428571,7
erythromycin,4.571428571428571,7
solodyn,4.6,5
metrogel,4.666666666666667,15
malarone,4.75,4
metronidazole,4.833333333333333,6
keflex,4.857142857142857,14
naproxen,4.888888888888889,18
seasonique,4.961538461538462,26
galzin,5.0,2
baciim,5.0,1
nolvadex,5.0,3
proquin-xr,5.0,7
symbyax,5.0,2
micardis,5.0,4
depakene,5.0,2
lac-hydrin,5.0,1
zofran,5.0,7
quibron-t,5.0,1
evoclin,5.0,1
lupron,5.0,2
dysport,5.0,2
zocor,5.066666666666666,15
asacol,5.2,5
naprosyn,5.25,4
zyprexa,5.333333333333333,6
depo-provera,5.333333333333333,12
dispermox,5.333333333333333,9
dilantin,5.333333333333333,3
prinivil,5.333333333333333,27
abilify,5.375,8
fluconazole,5.4,5
lunesta,5.411764705882353,17
ventolin-hfa,5.5,2
ultram-er,5.5,2
vytorin,5.5,4
duragesic,5.5,4
phenergan,5.5,2
permapen,5.5,2
azelex,5.5,2
alendronate,5.5,4
dexedrine,5.5,2
morphine,5.5,2
tri-luma,5.6,10
mirtazapine,5.6,5
claritin,5.611111111111111,18
seroquel,5.666666666666667,27
tetracycline,5.666666666666667,12
diazepam,5.666666666666667,9
zyban,5.666666666666667,15
yasmin,5.695652173913044,23
darvocet-n,5.75,4
tirosint,5.75,12
diflucan,5.75,4
coumadin,5.75,4
klonopin,5.785714285714286,14
cipro,5.8,20
desyrel,5.833333333333333,12
aldara,5.857142857142857,7
oxycontin,5.857142857142857,7
