condition_clean,avg_rating,review_count
hashimotos disease,10.0,1
high blood pressure after prewgnancy,10.0,1
radical hysterectomy,10.0,1
add/adhd,10.0,1
urinary tract infrection,10.0,1
herpes zoster,10.0,2
rheumatiod arthritis,10.0,1
pmdd,10.0,1
sore throat with a low grade fever,10.0,1
"tonsillitis, sinusitis also bad tooth ache.",10.0,1
"headaches, menstrual aches/cramps, fever",10.0,1
nocturnal myoclonus (like restless leg syndrome),10.0,1
hysterectomy/cessation of menses,10.0,1
stomach nervousness,10.0,1
peripheral neuropathy,10.0,1
severe menstrual cramps,10.0,1
post menopausal /hysterectomy,10.0,1
tension and anxiety,10.0,1
nodular acne,10.0,1
"chronic sinus infection (long term), post nasal dr",10.0,1
total hysterectomy,10.0,1
hypothryroid,10.0,1
cancer prevention,10.0,1
replacement thearpy,10.0,1
sleeping,10.0,1
chronic heartburn,10.0,1
delayed gastric emptying-nausea,10.0,1
"relapsing remitting ms, possible neuro sarcoidosis",10.0,1
primary hypersomnia,10.0,1
"panic attacks, depression",10.0,1
lower respiratory tract infection,10.0,1
general fluid retention,10.0,1
"dizzyness,, vertigo, nausea,",10.0,1
psychotic out nof control patient,10.0,1
difficulty sleeping because of nervous system prob,10.0,1
"irritability,anxiety",10.0,1
for treating wrinkles,10.0,1
restless leg sydrome,10.0,1
hrt (hormone replacement therapy),10.0,1
tremor,10.0,1
"itchy, red, irritated skin",10.0,1
eyelash loss,10.0,1
period cramps,10.0,1
sleep distubance/mild depression,10.0,1
very high cholesterol and family history of heart,10.0,1
cystic acne on chin and jaw,10.0,2
alergies,10.0,1
severe wrist pain,10.0,1
"fatique, depression",10.0,1
"lingering infection - ear, sinus, throat",10.0,1
nerve and muscle pain,10.0,1
hand dermatitis,10.0,1
"anxiety, panic attack",10.0,1
severe poison ivy all over face,10.0,1
excessive testosterone levels,10.0,1
uneven skin tone and wrinkle prevention,10.0,1
moderately severe acne,10.0,1
low thyroid production,10.0,2
"blackheads,large pores,sun damage",10.0,1
sinus allergies/hives,10.0,1
fungus on big toes,10.0,1
low estragen,10.0,1
gastric esophageal reflux,10.0,1
osteo arthritis,10.0,2
kidney stones,10.0,1
anxiety/ panic attacks,10.0,1
hyperlipidemia,10.0,3
"ocd, bipolor disease",10.0,1
post menapause symptoms,10.0,1
cystic fibrosis,10.0,1
cold sore below lip,10.0,1
anxeity,10.0,1
sinus infection with smelly nasal discharge,10.0,1
eczema/allergies,10.0,1
high blood cholesterol levels,10.0,1
high blood levels of thrombisin,10.0,1
r.a.,10.0,1
hip flexor & back pain,10.0,1
high bloodpressure,10.0,1
"cramps, birth control",10.0,1
anxiety insomnia,10.0,1
"depression, anxiety & pain",10.0,1
"anxiety, panic disorder",10.0,1
pre cancer cells,10.0,1
labyrinthitis,10.0,1
"depression, tension headache",10.0,1
chronic urinary and yeast infections due to drynes,10.0,2
hashimoto's hypothyroidism,10.0,1
pain relief for arthritis and sleep aid,10.0,1
acne and anti age benefits,10.0,1
high colesterol level,10.0,1
anxiety/trouble sleeping,10.0,1
skin cancers,10.0,1
white spots on facial skin,10.0,1
recurrent depression,10.0,1
tonsillitis,10.0,1
bladder infecton,10.0,1
gerd/barret's esophogus,10.0,1
prickly heat/heat rash,10.0,1
coldsores,10.0,1
