drug_name,avg_rating,review_count
baraclude,10.0,1
avapro,10.0,2
estrasorb,10.0,2
geodon,10.0,2
lidocaine,10.0,1
taclonex,10.0,1
haldol,10.0,1
polymyxin-b,10.0,1
imuran,10.0,1
progesterone,10.0,1
latisse,10.0,3
neoprofen,10.0,2
estratest,10.0,2
azopt,10.0,1
deltasone,10.0,1
dyazide,10.0,1
methylphenidate,10.0,1
atripla,10.0,1
dextrostat,10.0,1
cataflam,10.0,1
triphasil,10.0,3
delestrogen,10.0,1
prograf,10.0,1
nasacort-aq,10.0,1
phendimetrazine,10.0,1
parlodel,10.0,1
bisoprolol,10.0,1
androgel,10.0,1
hydrocortisone,10.0,1
nasarel,10.0,1
methimazole,10.0,2
naltrexone,10.0,1
axert,10.0,1
hytrin,10.0,1
metformin-extended-release,10.0,1
bystolic,10.0,1
eulexin,10.0,1
piroxicam,10.0,1
reclipsen,10.0,1
noritate,10.0,1
olux,10.0,1
flovent,10.0,1
nordette,10.0,1
soltamox,10.0,1
pravachol,10.0,1
sanctura-xr,10.0,1
indocin,10.0,1
follistim,10.0,1
sular,10.0,1
ribavirin,10.0,1
tekturna,10.0,1
fosamax-plus-d,10.0,1
zestoretic,10.0,1
qvar,10.0,1
vigamox,10.0,1
divigel,9.75,4
levothroid,9.666666666666666,3
dyrenium,9.5,2
vesicare,9.5,2
cytomel,9.5,4
sumatriptan,9.5,4
clobex,9.5,2
maxalt,9.428571428571429,7
seroquel-xr,9.333333333333334,3
flomax,9.333333333333334,3
asmanex,9.333333333333334,3
cozaar,9.25,4
vagifem,9.25,4
armour-thyroid,9.214285714285714,14
acyclovir,9.181818181818182,11
vivelle-dot,9.090909090909092,11
innofem,9.0,4
premarin-vaginal,9.0,1
tobramycin,9.0,1
nardil,9.0,1
corgard,9.0,2
tarka,9.0,1
clindamycin-topical,9.0,1
estrostep-fe,9.0,2
gonal-f-rff,9.0,1
oxybutynin,9.0,1
amphetamine,9.0,1
sonata,9.0,2
triamcinolone,9.0,1
pentasa,9.0,3
etodolac,9.0,1
allegra-d,9.0,2
benicar,9.0,3
proair-hfa,9.0,2
elmiron,9.0,1
cosopt,9.0,2
zetia,9.0,1
lo-ovral,9.0,1
tofranil-pm,9.0,1
zyvox,9.0,1
atacand,9.0,4
alprazolam,9.0,10
ponstel,9.0,3
zebeta,9.0,1
metrolotion,9.0,1
lantus,9.0,1
pataday,9.0,1
desmopressin,9.0,1
levitra,9.0,4
proloprim,9.0,1
hyoscyamine,9.0,1
arimidex,9.0,1
spiriva,9.0,1
trimethobenzamide,9.0,1
hydrocodone-and-acetaminophen,9.0,1
azasan,9.0,1
nizoral-shampoo,9.0,1
penicillin-v,9.0,1
lotronex,9.0,1
accupril,9.0,1
plendil,9.0,1
enbrel,8.909090909090908,11
valium,8.909090909090908,11
humira,8.88888888888889,9
aciphex,8.833333333333334,6
minoxidil,8.8,5
atenolol,8.8,10
buspar,8.75,4
cialis,8.714285714285714,7
nuvigil,8.666666666666666,3
coreg,8.666666666666666,3
triaz,8.666666666666666,3
klaron,8.666666666666666,3
elocon,8.666666666666666,3
valtrex,8.541666666666666,24
tenormin,8.5,6
nasonex,8.5,10
levora,8.5,2
ampicillin,8.5,2
nasacort,8.5,2
baclofen,8.5,4
copaxone,8.5,2
tapazole,8.5,2
meridia,8.5,16
fluvoxamine,8.5,4
zovirax,8.5,10
alesse,8.5,2
aromasin,8.5,2
methadone,8.428571428571429,7
metoprolol,8.4,5
estrace,8.375,8
sotret,8.333333333333334,6
flonase,8.333333333333334,30
antivert,8.333333333333334,3
oxazepam,8.333333333333334,3
dextroamphetamine,8.333333333333334,3
tylenol,8.285714285714286,7
wellbutrin-sr,8.272727272727273,11
vasotec,8.25,4
protonix,8.210526315789474,19
requip,8.2,10
adderall,8.181818181818182,22
zomig,8.157894736842104,19
xanax,8.133333333333333,30
lumigan,8.090909090909092,11
vyvanse,8.083333333333334,24
sarafem,8.083333333333334,12
trazodone,8.071428571428571,14
metformin,8.052631578947368,19
doxepin,8.0,1
mercaptopurine,8.0,1
cardura-xl,8.0,1
aczone,8.0,1
betaseron,8.0,1
periostat,8.0,1
amerge,8.0,1
nizoral,8.0,1
trilipix,8.0,1
ziac,8.0,1
viagra,8.0,3
meperidine,8.0,1
kapidex,8.0,1
avage,8.0,7
vaniqa,8.0,1
trimethoprim,8.0,2
omacor,8.0,1
genotropin,8.0,1
relpax,8.0,6
benzaclin,8.0,3
tussionex,8.0,2
angeliq,8.0,2
carbamazepine,8.0,1
biaxin-xl,8.0,1
fortaz,8.0,1
dapsone,8.0,1
saizen,8.0,1
estring,8.0,1
cefzil,8.0,1
miralax,8.0,1
patanol,8.0,1
hydrochlorothiazide,8.0,3
cardura,8.0,1
tambocor,8.0,1
azor,8.0,1
aloprim,8.0,1
taxotere,8.0,1
ritalin-la,8.0,1
frova,8.0,1
prometrium,8.0,4
xalatan,8.0,1
ketoconazole,8.0,1
azulfidine,8.0,1
rifadin,8.0,1
wellbutrin-xl,7.9714285714285715,35
ritalin,7.9,10
imitrex,7.892857142857143,28
remicade,7.875,8
nexium,7.864864864864865,37
provigil,7.862068965517241,29
byetta,7.857142857142857,7
motrin,7.857142857142857,14
synthroid,7.8431372549019605,51
premarin,7.833333333333333,18
advair-hfa,7.833333333333333,6
panixine-disperdose,7.833333333333333,6
hyzaar,7.833333333333333,6
zithromax,7.8,15
restoril,7.8,5
propranolol,7.8,5
clarinex,7.8,5
lamictal,7.78125,32
zyrtec,7.78125,32
finacea,7.777777777777778,9
allegra,7.7727272727272725,22
clonazepam,7.769230769230769,13
prevacid,7.761904761904762,21
plavix,7.75,4
oxycodone,7.666666666666667,12
lotrel,7.666666666666667,3
imodium,7.666666666666667,3
carac,7.666666666666667,3
fiorinal,7.666666666666667,3
seasonale,7.666666666666667,6
accutane,7.666666666666667,42
dostinex,7.666666666666667,3
fioricet,7.666666666666667,3
benadryl,7.666666666666667,3
adipex-p,7.655172413793103,29
retin-a,7.622641509433962,53
ranitidine,7.6,5
inderal,7.6,5
levoxyl,7.578947368421052,19
zantac,7.571428571428571,7
flexeril,7.56,25
prempro,7.526315789473684,19
zoloft,7.520833333333333,48
avodart,7.5,2
grifulvin-v,7.5,2
lovenox,7.5,2
trileptal,7.5,2
trental,7.5,2
niaspan,7.5,10
femhrt,7.5,2
prozac,7.4772727272727275,44
spironolactone,7.444444444444445,18
ecotrin,7.428571428571429,7
glucophage,7.375,8
botox,7.375,8
restasis,7.375,8
crestor,7.357142857142857,14
ambien-cr,7.352941176470588,17
anafranil,7.333333333333333,3
xyzal,7.333333333333333,3
efudex,7.333333333333333,3
lorazepam,7.3,10
pristiq,7.3,10
retin-a-micro,7.296296296296297,27
methotrexate,7.285714285714286,14
norvasc,7.266666666666667,15
zmax,7.25,8
ultram,7.25,16
tamiflu,7.2,10
lithium-carbonate,7.2,5
tazorac,7.181818181818182,22
ortho-tri-cyclen,7.166666666666667,18
oracea,7.142857142857143,7
prilosec,7.125,24
advair-diskus,7.125,8
albuterol,7.111111111111111,9
climara,7.111111111111111,9
elavil,7.105263157894737,19
adderall-xr,7.090909090909091,11
wellbutrin,7.075,40
ambien,7.064516129032258,31
lipitor,7.052631578947368,38
